NM_MUN,CD_MUN,TOT_POP,ABS_POP_BRANCA,ABS_POP_PRETA,ABS_POP_AMARELA,ABS_POP_PARDA,ABS_POP_INDIGENA,IGNORADOS,PERC_BRANCA,PERC_PRETA,PERC_AMARELA,PERC_PARDA,PERC_INDIGENA,ABS_INDIGENA_COR_RACA,PERC_INDIGENA_COR_RACA
Agrestina,  2 600 302 ,   23 779,   10 793,   1 831,35,   11 086,34,0,"45,4","7,7","0,1","46,6","0,1",    34 ,"0,1"
Água Preta,  2 600 401 ,   26 461,   7 410,   2 388,44,   16 617,2,0,"28,0","9,0","0,2","62,8","0,0",    2 ,"0,0"
Águas Belas,  2 600 500 ,   41 548,   10 723,   2 594,34,   23 446,   4 745,6,"25,8","6,2","0,1","56,4","11,4",   5 712 ,"13,7"
Alagoinha,  2 600 609 ,   13 542,   5 046,   1 060,18,   7 285,133,0,"37,3","7,8","0,1","53,8","1,0",    136 ,"1,0"
Aliança,  2 600 708 ,   35 741,   9 362,   4 415,24,   21 923,17,0,"26,2","12,4","0,1","61,3","0,0",    17 ,"0,0"
Altinho,  2 600 807 ,   20 674,   7 868,841,13,   11 938,14,0,"38,1","4,1","0,1","57,7","0,1",    14 ,"0,1"
Amaraji,  2 600 906 ,   18 205,   6 962,   1 507,14,   9 718,4,0,"38,2","8,3","0,1","53,4","0,0",    4 ,"0,0"
Angelim,  2 601 003 ,   10 241,   3 677,784,11,   5 755,14,0,"35,9","7,7","0,1","56,2","0,1",    14 ,"0,1"
Araçoiaba,  2 601 052 ,   19 243,   4 067,   2 295,7,   12 866,6,2,"21,1","11,9","0,0","66,9","0,0",    6 ,"0,0"
Araripina,  2 601 102 ,   85 088,   21 294,   7 327,187,   56 203,61,16,"25,0","8,6","0,2","66,1","0,1",    63 ,"0,1"
Arcoverde,  2 601 201 ,   77 742,   25 356,   7 218,206,   44 459,502,1,"32,6","9,3","0,3","57,2","0,6",    511 ,"0,7"
Barra de Guabiraba,  2 601 300 ,   12 263,   4 588,700,- ,   6 975,- ,0,"37,4","5,7","0,0","56,9","0,0",- ,"0,0"
Barreiros,  2 601 409 ,   40 121,   11 126,   4 090,46,   24 840,19,0,"27,7","10,2","0,1","61,9","0,0",    19 ,"0,0"
Belém de Maria,  2 601 508 ,   10 378,   3 750,621,4,   6 003,- ,0,"36,1","6,0","0,0","57,8","0,0",- ,"0,0"
Belém do São Francisco,  2 601 607 ,   18 301,   2 767,   2 490,2,   12 082,960,0,"15,1","13,6","0,0","66,0","5,2",   1 078 ,"5,9"
Belo Jardim,  2 601 706 ,   79 507,   27 870,   4 250,53,   47 233,99,2,"35,1","5,3","0,1","59,4","0,1",    99 ,"0,1"
Betânia,  2 601 805 ,   11 232,   3 048,   1 966,22,   6 167,29,0,"27,1","17,5","0,2","54,9","0,3",    29 ,"0,3"
Bezerros,  2 601 904 ,   61 694,   30 145,   3 319,122,   28 061,44,3,"48,9","5,4","0,2","45,5","0,1",    44 ,"0,1"
Bodocó,  2 602 001 ,   34 478,   7 380,   2 092,17,   24 975,14,0,"21,4","6,1","0,0","72,4","0,0",    14 ,"0,0"
Bom Conselho,  2 602 100 ,   44 294,   12 537,   3 358,84,   28 182,133,0,"28,3","7,6","0,2","63,6","0,3",    133 ,"0,3"
Bom Jardim,  2 602 209 ,   37 629,   14 178,   2 084,25,   21 332,10,0,"37,7","5,5","0,1","56,7","0,0",    10 ,"0,0"
Bonito,  2 602 308 ,   37 474,   15 170,   2 361,41,   19 880,22,0,"40,5","6,3","0,1","53,1","0,1",    22 ,"0,1"
Brejão,  2 602 407 ,   9 079,   3 000,828,7,   5 222,22,0,"33,0","9,1","0,1","57,5","0,2",    22 ,"0,2"
Brejinho,  2 602 506 ,   7 720,   2 683,363,5,   4 663,6,0,"34,8","4,7","0,1","60,4","0,1",    6 ,"0,1"
Brejo da Madre de Deus,  2 602 605 ,   48 648,   18 063,   2 645,50,   27 873,17,0,"37,1","5,4","0,1","57,3","0,0",    17 ,"0,0"
Buenos Aires,  2 602 704 ,   12 808,   3 811,   1 707,6,   7 276,8,0,"29,8","13,3","0,0","56,8","0,1",    8 ,"0,1"
Buíque,  2 602 803 ,   52 097,   12 051,   3 651,75,   35 298,   1 022,0,"23,1","7,0","0,1","67,8","2,0",   1 114 ,"2,1"
Cabo de Santo Agostinho,  2 602 902 ,   203 440,   57 148,   27 963,250,   117 889,184,6,"28,1","13,7","0,1","57,9","0,1",    184 ,"0,1"
Cabrobó,  2 603 009 ,   30 294,   5 795,   3 306,55,   16 820,   4 318,0,"19,1","10,9","0,2","55,5","14,3",   6 231 ,"20,6"
Cachoeirinha,  2 603 108 ,   19 899,   8 628,937,1,   10 325,7,1,"43,4","4,7","0,0","51,9","0,0",    7 ,"0,0"
Caetés,  2 603 207 ,   28 827,   10 939,   1 463,24,   16 391,10,0,"37,9","5,1","0,1","56,9","0,0",    10 ,"0,0"
Calçado,  2 603 306 ,   11 093,   3 569,553,3,   6 961,7,0,"32,2","5,0","0,0","62,8","0,1",    7 ,"0,1"
Calumbi,  2 603 405 ,   5 228,   1 414,306,1,   3 504,3,0,"27,0","5,9","0,0","67,0","0,1",    3 ,"0,1"
Camaragibe,  2 603 454 ,   147 771,   47 382,   19 089,230,   80 786,282,2,"32,1","12,9","0,2","54,7","0,2",    282 ,"0,2"
Camocim de São Félix,  2 603 504 ,   17 419,   8 037,   1 409,22,   7 941,10,0,"46,1","8,1","0,1","45,6","0,1",    10 ,"0,1"
Camutanga,  2 603 603 ,   7 750,   2 692,472,9,   4 559,18,0,"34,7","6,1","0,1","58,8","0,2",    18 ,"0,2"
Canhotinho,  2 603 702 ,   24 329,   8 675,   1 504,8,   14 120,22,0,"35,7","6,2","0,0","58,0","0,1",    22 ,"0,1"
Capoeiras,  2 603 801 ,   18 338,   8 375,969,15,   8 957,22,0,"45,7","5,3","0,1","48,8","0,1",    22 ,"0,1"
Carnaíba,  2 603 900 ,   18 644,   6 806,   1 255,64,   10 501,16,2,"36,5","6,7","0,3","56,3","0,1",    16 ,"0,1"
Carnaubeira da Penha,  2 603 926 ,   12 239,499,388,3,   1 911,   9 438,0,"4,1","3,2","0,0","15,6","77,1",   10 506 ,"85,8"
Carpina,  2 604 007 ,   79 293,   25 882,   9 244,67,   43 988,112,0,"32,6","11,7","0,1","55,5","0,1",    112 ,"0,1"
Caruaru,  2 604 106 ,   378 048,   168 191,   24 406,560,   184 277,598,16,"44,5","6,5","0,1","48,7","0,2",    599 ,"0,2"
Casinhas,  2 604 155 ,   12 967,   5 792,405,8,   6 758,4,0,"44,7","3,1","0,1","52,1","0,0",    4 ,"0,0"
Catende,  2 604 205 ,   32 156,   10 475,   2 527,40,   19 090,24,0,"32,6","7,9","0,1","59,4","0,1",    36 ,"0,1"
Cedro,  2 604 304 ,   10 518,   2 533,896,23,   7 053,13,0,"24,1","8,5","0,2","67,1","0,1",    13 ,"0,1"
Chã de Alegria,  2 604 403 ,   12 984,   2 896,   1 214,11,   8 863,- ,0,"22,3","9,3","0,1","68,3","0,0",- ,"0,0"
Chã Grande,  2 604 502 ,   20 546,   8 589,   1 014,5,   10 920,18,0,"41,8","4,9","0,0","53,1","0,1",    18 ,"0,1"
Condado,  2 604 601 ,   24 587,   6 375,   2 864,22,   15 323,3,0,"25,9","11,6","0,1","62,3","0,0",    3 ,"0,0"
Correntes,  2 604 700 ,   17 131,   6 203,826,25,   10 055,22,0,"36,2","4,8","0,1","58,7","0,1",    23 ,"0,1"
Cortês,  2 604 809 ,   10 198,   3 407,829,7,   5 949,6,0,"33,4","8,1","0,1","58,3","0,1",    6 ,"0,1"
Cumaru,  2 604 908 ,   15 920,   6 899,   1 099,1,   7 920,1,0,"43,3","6,9","0,0","49,7","0,0",    1 ,"0,0"
Cupira,  2 605 004 ,   23 518,   10 053,   1 134,31,   12 272,26,2,"42,7","4,8","0,1","52,2","0,1",    26 ,"0,1"
Custódia,  2 605 103 ,   37 699,   13 136,   3 458,75,   20 995,35,0,"34,8","9,2","0,2","55,7","0,1",    35 ,"0,1"
Dormentes,  2 605 152 ,   17 188,   7 730,818,19,   8 598,18,5,"45,0","4,8","0,1","50,0","0,1",    18 ,"0,1"
Escada,  2 605 202 ,   59 891,   17 694,   5 158,67,   36 910,58,4,"29,5","8,6","0,1","61,6","0,1",    58 ,"0,1"
Exu,  2 605 301 ,   31 843,   7 293,   3 840,53,   20 635,22,0,"22,9","12,1","0,2","64,8","0,1",    22 ,"0,1"
Feira Nova,  2 605 400 ,   21 427,   7 213,   1 527,30,   12 635,22,0,"33,7","7,1","0,1","59,0","0,1",    22 ,"0,1"
Fernando de Noronha,  2 605 459 ,   3 167,   1 080,447,5,   1 626,9,0,"34,1","14,1","0,2","51,3","0,3",    9 ,"0,3"
Ferreiros,  2 605 509 ,   15 026,   5 122,   1 069,57,   8 774,4,0,"34,1","7,1","0,4","58,4","0,0",    4 ,"0,0"
Flores,  2 605 608 ,   20 347,   6 591,951,41,   12 751,13,0,"32,4","4,7","0,2","62,7","0,1",    13 ,"0,1"
Floresta,  2 605 707 ,   30 137,   5 160,   2 691,48,   18 270,   3 967,1,"17,1","8,9","0,2","60,6","13,2",   5 459 ,"18,1"
Frei Miguelinho,  2 605 806 ,   13 636,   7 410,304,8,   5 911,2,1,"54,3","2,2","0,1","43,4","0,0",    2 ,"0,0"
Gameleira,  2 605 905 ,   18 214,   5 209,   1 957,43,   10 997,8,0,"28,6","10,7","0,2","60,4","0,0",    16 ,"0,1"
Garanhuns,  2 606 002 ,   142 506,   54 794,   11 901,200,   75 171,433,7,"38,5","8,4","0,1","52,8","0,3",    434 ,"0,3"
Glória do Goitá,  2 606 101 ,   29 347,   8 509,   2 726,47,   18 038,24,3,"29,0","9,3","0,2","61,5","0,1",    36 ,"0,1"
Goiana,  2 606 200 ,   81 055,   21 029,   10 016,96,   49 829,83,2,"25,9","12,4","0,1","61,5","0,1",    83 ,"0,1"
Granito,  2 606 309 ,   6 967,   1 316,394,31,   5 224,2,0,"18,9","5,7","0,4","75,0","0,0",    2 ,"0,0"
Gravatá,  2 606 408 ,   86 516,   40 924,   4 626,74,   40 776,116,0,"47,3","5,3","0,1","47,1","0,1",    116 ,"0,1"
Iati,  2 606 507 ,   17 165,   5 545,   1 062,16,   10 518,24,0,"32,3","6,2","0,1","61,3","0,1",    24 ,"0,1"
Ibimirim,  2 606 606 ,   26 593,   7 140,   1 441,41,   16 646,   1 325,0,"26,9","5,4","0,2","62,6","5,0",   1 705 ,"6,4"
Ibirajuba,  2 606 705 ,   7 140,   3 154,324,12,   3 648,2,0,"44,2","4,5","0,2","51,1","0,0",    2 ,"0,0"
Igarassu,  2 606 804 ,   115 196,   30 851,   14 421,94,   69 627,197,6,"26,8","12,5","0,1","60,4","0,2",    197 ,"0,2"
Iguaracy,  2 606 903 ,   11 081,   3 954,733,20,   6 365,9,0,"35,7","6,6","0,2","57,4","0,1",    16 ,"0,1"
Inajá,  2 607 000 ,   25 603,   5 216,   1 319,18,   16 191,   2 859,0,"20,4","5,2","0,1","63,2","11,2",   3 876 ,"15,1"
Ingazeira,  2 607 109 ,   4 765,   1 941,293,7,   2 520,3,1,"40,7","6,2","0,1","52,9","0,1",    3 ,"0,1"
Ipojuca,  2 607 208 ,   98 932,   24 988,   14 498,220,   59 092,131,3,"25,3","14,7","0,2","59,7","0,1",    131 ,"0,1"
Ipubi,  2 607 307 ,   29 009,   6 195,   1 472,58,   21 248,36,0,"21,4","5,1","0,2","73,2","0,1",    36 ,"0,1"
Itacuruba,  2 607 406 ,   4 284,441,839,1,   1 804,   1 199,0,"10,3","19,6","0,0","42,1","28,0",   1 349 ,"31,5"
Itaíba,  2 607 505 ,   32 650,   9 459,   1 357,9,   21 797,28,0,"29,0","4,2","0,0","66,8","0,1",    41 ,"0,1"
Ilha de Itamaracá,  2 607 604 ,   24 540,   5 946,   3 795,15,   14 732,50,2,"24,2","15,5","0,1","60,0","0,2",    50 ,"0,2"
Itambé,  2 607 653 ,   34 935,   9 189,   3 271,9,   22 455,11,0,"26,3","9,4","0,0","64,3","0,0",    11 ,"0,0"
Itapetim,  2 607 703 ,   13 791,   5 521,671,19,   7 562,18,0,"40,0","4,9","0,1","54,8","0,1",    18 ,"0,1"
Itapissuma,  2 607 752 ,   27 749,   5 631,   3 859,30,   18 190,38,1,"20,3","13,9","0,1","65,6","0,1",    38 ,"0,1"
Itaquitinga,  2 607 802 ,   16 554,   3 375,   2 163,22,   10 983,11,0,"20,4","13,1","0,1","66,3","0,1",    11 ,"0,1"
Jaboatão dos Guararapes,  2 607 901 ,   644 037,   210 764,   82 059,   1 130,   349 062,   1 005,17,"32,7","12,7","0,2","54,2","0,2",   1 005 ,"0,2"
Jaqueira,  2 607 950 ,   10 247,   2 331,451,13,   7 451,1,0,"22,7","4,4","0,1","72,7","0,0",    1 ,"0,0"
Jataúba,  2 608 008 ,   15 843,   5 728,848,20,   9 233,14,0,"36,2","5,4","0,1","58,3","0,1",    14 ,"0,1"
Jatobá,  2 608 057 ,   14 020,   2 395,712,8,   6 175,   4 730,0,"17,1","5,1","0,1","44,0","33,7",   5 579 ,"39,8"
João Alfredo,  2 608 107 ,   27 725,   10 439,   1 765,21,   15 485,15,0,"37,7","6,4","0,1","55,9","0,1",    15 ,"0,1"
Joaquim Nabuco,  2 608 206 ,   13 269,   3 654,   1 525,40,   8 031,19,0,"27,5","11,5","0,3","60,5","0,1",    19 ,"0,1"
Jucati,  2 608 255 ,   11 517,   4 430,783,27,   6 273,4,0,"38,5","6,8","0,2","54,5","0,0",    4 ,"0,0"
Jupi,  2 608 305 ,   15 329,   5 382,793,13,   9 117,24,0,"35,1","5,2","0,1","59,5","0,2",    26 ,"0,2"
Jurema,  2 608 404 ,   13 648,   5 096,564,10,   7 976,2,0,"37,3","4,1","0,1","58,4","0,0",    2 ,"0,0"
Lagoa do Carro,  2 608 453 ,   17 981,   6 251,   1 563,17,   10 125,22,3,"34,8","8,7","0,1","56,3","0,1",    22 ,"0,1"
Lagoa de Itaenga,  2 608 503 ,   19 003,   5 054,   2 056,34,   11 798,61,0,"26,6","10,8","0,2","62,1","0,3",    176 ,"0,9"
Lagoa do Ouro,  2 608 602 ,   11 933,   4 941,482,8,   6 499,3,0,"41,4","4,0","0,1","54,5","0,0",    3 ,"0,0"
Lagoa dos Gatos,  2 608 701 ,   14 076,   5 675,   1 191,7,   7 197,6,0,"40,3","8,5","0,0","51,1","0,0",    6 ,"0,0"
Lagoa Grande,  2 608 750 ,   24 088,   5 240,   2 819,20,   15 754,255,0,"21,8","11,7","0,1","65,4","1,1",    267 ,"1,1"
Lajedo,  2 608 800 ,   39 582,   15 839,   1 816,43,   21 848,36,0,"40,0","4,6","0,1","55,2","0,1",    36 ,"0,1"
Limoeiro,  2 608 909 ,   56 510,   21 761,   4 435,30,   30 256,27,1,"38,5","7,8","0,1","53,5","0,0",    27 ,"0,0"
Macaparana,  2 609 006 ,   23 879,   8 485,   2 017,35,   13 317,24,1,"35,5","8,4","0,1","55,8","0,1",    24 ,"0,1"
Machados,  2 609 105 ,   11 333,   4 329,625,7,   6 368,4,0,"38,2","5,5","0,1","56,2","0,0",    4 ,"0,0"
Manari,  2 609 154 ,   23 763,   4 543,642,13,   18 548,17,0,"19,1","2,7","0,1","78,1","0,1",    17 ,"0,1"
Maraial,  2 609 204 ,   9 359,   3 012,589,2,   5 755,1,0,"32,2","6,3","0,0","61,5","0,0",    1 ,"0,0"
Mirandiba,  2 609 303 ,   14 166,   1 254,   2 995,2,   6 592,   3 323,0,"8,9","21,1","0,0","46,5","23,5",   4 538 ,"32,0"
Moreno,  2 609 402 ,   55 292,   16 213,   6 831,120,   31 995,133,0,"29,3","12,4","0,2","57,9","0,2",    133 ,"0,2"
Nazaré da Mata,  2 609 501 ,   30 648,   8 025,   4 803,47,   17 727,42,4,"26,2","15,7","0,2","57,8","0,1",    42 ,"0,1"
Olinda,  2 609 600 ,   349 976,   117 478,   51 718,622,   179 489,664,5,"33,6","14,8","0,2","51,3","0,2",    664 ,"0,2"
Orobó,  2 609 709 ,   21 808,   8 541,   1 097,7,   12 150,13,0,"39,2","5,0","0,0","55,7","0,1",    13 ,"0,1"
Orocó,  2 609 808 ,   13 613,   1 701,   2 497,10,   8 484,921,0,"12,5","18,3","0,1","62,3","6,8",   1 818 ,"13,4"
Ouricuri,  2 609 907 ,   65 245,   17 863,   4 229,83,   42 972,91,7,"27,4","6,5","0,1","65,9","0,1",    97 ,"0,1"
Palmares,  2 610 004 ,   54 584,   17 005,   5 844,86,   31 585,64,0,"31,2","10,7","0,2","57,9","0,1",    64 ,"0,1"
Palmeirina,  2 610 103 ,   7 031,   2 559,423,12,   4 019,18,0,"36,4","6,0","0,2","57,2","0,3",    18 ,"0,3"
Panelas,  2 610 202 ,   22 991,   7 955,   1 186,30,   13 811,8,1,"34,6","5,2","0,1","60,1","0,0",    8 ,"0,0"
Paranatama,  2 610 301 ,   12 199,   4 253,280,16,   7 634,16,0,"34,9","2,3","0,1","62,6","0,1",    16 ,"0,1"
Parnamirim,  2 610 400 ,   18 612,   5 135,935,6,   12 527,9,0,"27,6","5,0","0,0","67,3","0,0",    9 ,"0,0"
Passira,  2 610 509 ,   28 340,   11 122,   1 595,8,   15 607,7,1,"39,2","5,6","0,0","55,1","0,0",    7 ,"0,0"
Paudalho,  2 610 608 ,   56 665,   14 841,   6 561,71,   35 144,47,1,"26,2","11,6","0,1","62,0","0,1",    47 ,"0,1"
Paulista,  2 610 707 ,   342 167,   110 884,   46 571,418,   183 579,711,4,"32,4","13,6","0,1","53,7","0,2",    711 ,"0,2"
Pedra,  2 610 806 ,   22 795,   7 239,   1 464,4,   14 037,51,0,"31,8","6,4","0,0","61,6","0,2",    52 ,"0,2"
Pesqueira,  2 610 905 ,   62 722,   18 579,   3 411,96,   26 687,   13 949,0,"29,6","5,4","0,2","42,5","22,2",   22 728 ,"36,2"
Petrolândia,  2 611 002 ,   34 161,   7 105,   1 842,28,   21 854,   3 332,0,"20,8","5,4","0,1","64,0","9,8",   5 223 ,"15,3"
Petrolina,  2 611 101 ,   386 791,   108 120,   44 021,871,   232 013,   1 760,6,"28,0","11,4","0,2","60,0","0,5",   1 921 ,"0,5"
Poção,  2 611 200 ,   10 500,   3 606,472,10,   5 894,518,0,"34,3","4,5","0,1","56,1","4,9",    551 ,"5,2"
Pombos,  2 611 309 ,   27 552,   10 583,   2 099,38,   14 800,28,4,"38,4","7,6","0,1","53,7","0,1",    38 ,"0,1"
Primavera,  2 611 408 ,   13 838,   4 678,   1 050,11,   8 098,1,0,"33,8","7,6","0,1","58,5","0,0",    1 ,"0,0"
Quipapá,  2 611 507 ,   17 928,   5 600,   1 474,32,   10 810,12,0,"31,2","8,2","0,2","60,3","0,1",    12 ,"0,1"
Quixaba,  2 611 533 ,   6 554,   2 337,408,2,   3 803,4,0,"35,7","6,2","0,0","58,0","0,1",    4 ,"0,1"
Recife,  2 611 606 ,  1 488 920,   578 413,   182 546,   2 703,   722 555,   2 656,47,"38,8","12,3","0,2","48,5","0,2",   2 656 ,"0,2"
Riacho das Almas,  2 611 705 ,   20 639,   10 105,617,10,   9 899,8,0,"49,0","3,0","0,0","48,0","0,0",    8 ,"0,0"
Ribeirão,  2 611 804 ,   33 507,   10 366,   2 815,16,   20 282,28,0,"30,9","8,4","0,0","60,5","0,1",    28 ,"0,1"
Rio Formoso,  2 611 903 ,   20 009,   4 690,   3 475,26,   11 797,21,0,"23,4","17,4","0,1","59,0","0,1",    21 ,"0,1"
Sairé,  2 612 000 ,   10 887,   5 394,605,25,   4 854,9,0,"49,5","5,6","0,2","44,6","0,1",    9 ,"0,1"
Salgadinho,  2 612 109 ,   5 727,   2 197,471,6,   3 053,- ,0,"38,4","8,2","0,1","53,3","0,0",- ,"0,0"
Salgueiro,  2 612 208 ,   62 372,   14 551,   8 232,181,   36 247,   3 160,1,"23,3","13,2","0,3","58,1","5,1",   3 527 ,"5,7"
Saloá,  2 612 307 ,   13 836,   4 748,935,26,   8 096,29,2,"34,3","6,8","0,2","58,5","0,2",    29 ,"0,2"
Sanharó,  2 612 406 ,   18 624,   7 120,   1 109,12,   10 324,59,0,"38,2","6,0","0,1","55,4","0,3",    59 ,"0,3"
Santa Cruz,  2 612 455 ,   13 841,   4 120,595,10,   9 108,8,0,"29,8","4,3","0,1","65,8","0,1",    8 ,"0,1"
Santa Cruz da Baixa Verde,  2 612 471 ,   11 567,   2 945,792,20,   7 798,12,0,"25,5","6,8","0,2","67,4","0,1",    12 ,"0,1"
Santa Cruz do Capibaribe,  2 612 505 ,   98 254,   40 497,   5 636,364,   51 635,121,1,"41,2","5,7","0,4","52,6","0,1",    121 ,"0,1"
Santa Filomena,  2 612 554 ,   12 106,   3 207,435,27,   8 433,4,0,"26,5","3,6","0,2","69,7","0,0",    4 ,"0,0"
Santa Maria da Boa Vista,  2 612 604 ,   40 578,   5 494,   8 502,10,   26 272,300,0,"13,5","21,0","0,0","64,7","0,7",    341 ,"0,8"
Santa Maria do Cambucá,  2 612 703 ,   14 013,   5 587,476,18,   7 923,7,2,"39,9","3,4","0,1","56,5","0,0",    7 ,"0,0"
Santa Terezinha,  2 612 802 ,   10 244,   4 017,622,15,   5 584,6,0,"39,2","6,1","0,1","54,5","0,1",    6 ,"0,1"
São Benedito do Sul,  2 612 901 ,   13 113,   3 432,   1 135,13,   8 529,4,0,"26,2","8,7","0,1","65,0","0,0",    4 ,"0,0"
São Bento do Una,  2 613 008 ,   49 449,   18 287,   2 700,47,   28 357,58,0,"37,0","5,5","0,1","57,3","0,1",    58 ,"0,1"
São Caitano,  2 613 107 ,   37 126,   15 841,   2 525,67,   18 626,67,0,"42,7","6,8","0,2","50,2","0,2",    67 ,"0,2"
São João,  2 613 206 ,   23 837,   7 986,   1 092,7,   14 745,5,2,"33,5","4,6","0,0","61,9","0,0",    5 ,"0,0"
São Joaquim do Monte,  2 613 305 ,   20 037,   9 422,821,10,   9 768,16,0,"47,0","4,1","0,0","48,7","0,1",    16 ,"0,1"
São José da Coroa Grande,  2 613 404 ,   18 825,   4 239,   1 629,9,   12 942,6,0,"22,5","8,7","0,0","68,7","0,0",    6 ,"0,0"
São José do Belmonte,  2 613 503 ,   34 843,   7 522,   2 746,21,   24 093,461,0,"21,6","7,9","0,1","69,1","1,3",    492 ,"1,4"
São José do Egito,  2 613 602 ,   31 004,   12 231,   1 456,45,   17 234,38,0,"39,4","4,7","0,1","55,6","0,1",    38 ,"0,1"
São Lourenço da Mata,  2 613 701 ,   111 249,   34 135,   15 763,134,   61 112,103,2,"30,7","14,2","0,1","54,9","0,1",    103 ,"0,1"
São Vicente Férrer,  2 613 800 ,   16 677,   5 789,   1 513,10,   9 363,2,0,"34,7","9,1","0,1","56,1","0,0",    2 ,"0,0"
Serra Talhada,  2 613 909 ,   92 228,   29 213,   8 052,76,   54 191,690,6,"31,7","8,7","0,1","58,8","0,7",    695 ,"0,8"
Serrita,  2 614 006 ,   18 207,   3 948,   1 257,27,   12 967,8,0,"21,7","6,9","0,1","71,2","0,0",    8 ,"0,0"
Sertânia,  2 614 105 ,   32 811,   11 137,   2 219,21,   19 381,51,2,"33,9","6,8","0,1","59,1","0,2",    51 ,"0,2"
Sirinhaém,  2 614 204 ,   37 596,   9 025,   5 270,18,   23 268,15,0,"24,0","14,0","0,0","61,9","0,0",    15 ,"0,0"
Moreilândia,  2 614 303 ,   10 540,   2 691,622,6,   7 214,7,0,"25,5","5,9","0,1","68,4","0,1",    7 ,"0,1"
Solidão,  2 614 402 ,   5 210,   2 782,184,7,   2 230,7,0,"53,4","3,5","0,1","42,8","0,1",    7 ,"0,1"
Surubim,  2 614 501 ,   64 120,   29 464,   2 934,48,   31 627,46,1,"46,0","4,6","0,1","49,3","0,1",    91 ,"0,1"
Tabira,  2 614 600 ,   27 681,   12 265,   1 294,18,   14 076,28,0,"44,3","4,7","0,1","50,9","0,1",    28 ,"0,1"
Tacaimbó,  2 614 709 ,   13 738,   5 379,480,24,   7 850,2,3,"39,2","3,5","0,2","57,2","0,0",    2 ,"0,0"
Tacaratu,  2 614 808 ,   23 902,   3 389,708,26,   12 749,   7 029,1,"14,2","3,0","0,1","53,3","29,4",   8 241 ,"34,5"
Tamandaré,  2 614 857 ,   23 561,   5 805,   4 079,32,   13 637,8,0,"24,6","17,3","0,1","57,9","0,0",    8 ,"0,0"
Taquaritinga do Norte,  2 615 003 ,   24 736,   11 675,   1 229,53,   11 750,29,0,"47,2","5,0","0,2","47,5","0,1",    29 ,"0,1"
Terezinha,  2 615 102 ,   6 513,   2 292,359,7,   3 845,8,2,"35,2","5,5","0,1","59,1","0,1",    8 ,"0,1"
Terra Nova,  2 615 201 ,   8 920,   2 364,688,10,   5 846,12,0,"26,5","7,7","0,1","65,5","0,1",    12 ,"0,1"
Timbaúba,  2 615 300 ,   46 147,   15 462,   4 777,54,   25 831,18,5,"33,5","10,4","0,1","56,0","0,0",    18 ,"0,0"
Toritama,  2 615 409 ,   41 137,   16 724,   2 415,53,   21 859,84,2,"40,7","5,9","0,1","53,1","0,2",    84 ,"0,2"
Tracunhaém,  2 615 508 ,   13 867,   3 229,   2 079,3,   8 552,2,2,"23,3","15,0","0,0","61,7","0,0",    2 ,"0,0"
Trindade,  2 615 607 ,   30 321,   7 151,   1 949,31,   21 151,38,1,"23,6","6,4","0,1","69,8","0,1",    38 ,"0,1"
Triunfo,  2 615 706 ,   14 705,   4 983,   1 120,31,   8 513,58,0,"33,9","7,6","0,2","57,9","0,4",    58 ,"0,4"
Tupanatinga,  2 615 805 ,   26 937,   6 066,   1 762,31,   17 175,   1 885,18,"22,5","6,5","0,1","63,8","7,0",   1 920 ,"7,1"
Tuparetama,  2 615 904 ,   8 005,   3 171,517,12,   4 298,7,0,"39,6","6,5","0,1","53,7","0,1",    7 ,"0,1"
Venturosa,  2 616 001 ,   17 251,   6 351,934,61,   9 864,39,2,"36,8","5,4","0,4","57,2","0,2",    39 ,"0,2"
Verdejante,  2 616 100 ,   9 169,   1 512,684,36,   6 911,26,0,"16,5","7,5","0,4","75,4","0,3",    26 ,"0,3"
Vertente do Lério,  2 616 183 ,   7 558,   3 385,277,- ,   3 895,1,0,"44,8","3,7","0,0","51,5","0,0",    1 ,"0,0"
Vertentes,  2 616 209 ,   21 959,   9 093,   1 102,18,   11 715,30,1,"41,4","5,0","0,1","53,4","0,1",    30 ,"0,1"
Vicência,  2 616 308 ,   26 359,   8 389,   2 776,7,   15 175,11,1,"31,8","10,5","0,0","57,6","0,0",    11 ,"0,0"
Vitória de Santo Antão,  2 616 407 ,   134 084,   47 908,   12 973,186,   72 826,186,5,"35,7","9,7","0,1","54,3","0,1",    191 ,"0,1"
Xexéu,  2 616 506 ,   11 611,   3 056,946,9,   7 595,5,0,"26,3","8,1","0,1","65,4","0,0",    6 ,"0,1"
Água Branca,  2 700 102 ,   19 008,   2 625,   1 152,13,   14 861,357,0,"13,8","6,1","0,1","78,2","1,9",    457 ,"2,4"
Anadia,  2 700 201 ,   13 966,   4 374,   1 444,34,   8 107,7,0,"31,3","10,3","0,2","58,0","0,1",    7 ,"0,1"
Arapiraca,  2 700 300 ,   234 696,   76 745,   16 482,285,   140 721,451,12,"32,7","7,0","0,1","60,0","0,2",    458 ,"0,2"
Atalaia,  2 700 409 ,   37 512,   9 909,   4 704,97,   22 784,16,2,"26,4","12,5","0,3","60,7","0,0",    16 ,"0,0"
Barra de Santo Antônio,  2 700 508 ,   16 365,   4 304,   1 672,10,   10 370,8,1,"26,3","10,2","0,1","63,4","0,0",    8 ,"0,0"
Barra de São Miguel,  2 700 607 ,   7 944,   2 134,848,19,   4 940,3,0,"26,9","10,7","0,2","62,2","0,0",    3 ,"0,0"
